concept	asset_type	path_or_ref
crashloopbackoff	incident	training/interactive/incidents/scenarios/crashloop-bad-command.sh
crashloopbackoff	investigation	training/library/runbooks/crashloopbackoff.md
crashloopbackoff	doc	training/library/guides/troubleshooting.md
crashloopbackoff	cards	training/interactive/knowledge/data/cards/kubernetes.tsv
imagepullbackoff	runbook	training/library/runbooks/imagepullbackoff.md
imagepullbackoff	incident	training/interactive/incidents/scenarios/imagepull-bad-tag.sh
imagepullbackoff	investigation	training/library/runbooks/imagepullbackoff.md
imagepullbackoff	quest	training/interactive/exercises/levels/level-03/k8s-imagepull/
imagepullbackoff	cards	training/interactive/knowledge/data/cards/kubernetes.tsv
container_image	quest	training/interactive/exercises/levels/level-03/k8s-imagepull/
container_image	skillcheck	training/library/skillchecks/docker.skillcheck.md
container_image	cards	training/interactive/knowledge/data/cards/docker.tsv
namespace	quest	training/interactive/exercises/levels/level-10/k8s-namespace/
namespace	doc	training/kubectl-debugging-cheatsheet.md
namespace	skillcheck	training/library/skillchecks/kubernetes.skillcheck.md
namespace	cards	training/interactive/knowledge/data/cards/kubernetes.tsv
configmap	quest	training/interactive/exercises/levels/level-26/k8s-sessionaffinity/
configmap	chaos	training/interactive/chaos/scripts/inject_bad_configmap.sh
configmap	doc	training/kubectl-debugging-cheatsheet.md
configmap	skillcheck	training/library/skillchecks/kubernetes.skillcheck.md
configmap	cards	training/interactive/knowledge/data/cards/kubernetes.tsv
secret	quest	training/interactive/exercises/levels/level-27/k8s-crossnamespace/
secret	doc	training/kubectl-debugging-cheatsheet.md
secret	skillcheck	training/library/skillchecks/kubernetes.skillcheck.md
secret	cards	training/interactive/knowledge/data/cards/kubernetes.tsv
rollout	quest	training/interactive/exercises/levels/level-15/k8s-rollout/
rollout	quest	training/interactive/exercises/levels/level-11/k8s-rollback/
rollout	doc	training/kubectl-debugging-cheatsheet.md
rollout	skillcheck	training/library/skillchecks/kubernetes.skillcheck.md
rollout	cards	training/interactive/knowledge/data/cards/kubernetes.tsv
replicaset	quest	training/interactive/exercises/levels/level-20/k8s-replicaset/
replicaset	skillcheck	training/library/skillchecks/kubernetes.skillcheck.md
replicaset	cards	training/interactive/knowledge/data/cards/kubernetes.tsv
statefulset	quest	training/interactive/exercises/levels/level-19/k8s-statefulset/
statefulset	skillcheck	training/library/skillchecks/kubernetes.skillcheck.md
statefulset	cards	training/interactive/knowledge/data/cards/kubernetes.tsv
daemonset	skillcheck	training/library/skillchecks/kubernetes.skillcheck.md
daemonset	cards	training/interactive/knowledge/data/cards/kubernetes.tsv
labels	quest	training/interactive/exercises/levels/level-05/k8s-labels/
labels	skillcheck	training/library/skillchecks/kubernetes.skillcheck.md
labels	cards	training/interactive/knowledge/data/cards/kubernetes.tsv
dns	runbook	training/library/runbooks/dns_resolution.md
dns	incident	training/interactive/incidents/scenarios/dns-bad-service-name.sh
dns	investigation	training/library/runbooks/dns_resolution.md
dns	quest	training/interactive/exercises/levels/level-23/k8s-dns/
dns	doc	training/kubectl-debugging-cheatsheet.md
dns	cards	training/interactive/knowledge/data/cards/kubernetes.tsv
coredns	runbook	training/library/runbooks/dns_resolution.md
coredns	investigation	training/library/runbooks/dns_resolution.md
networkpolicy	runbook	training/library/runbooks/networkpolicy_block.md
networkpolicy	incident	training/interactive/incidents/scenarios/networkpolicy-block-ingress.sh
networkpolicy	investigation	training/library/runbooks/networkpolicy_block.md
networkpolicy	chaos	training/interactive/chaos/scripts/toggle_networkpolicy.sh
networkpolicy	quest	training/interactive/exercises/levels/level-25/k8s-networkpolicy/
networkpolicy	doc	training/kubectl-debugging-cheatsheet.md
networkpolicy	cards	training/interactive/knowledge/data/cards/kubernetes.tsv
ingress	runbook	training/library/runbooks/ingress_404.md
ingress	interview	training/interview-scenarios/10-ingress-404.md
ingress	quest	training/interactive/exercises/levels/level-24/k8s-ingress/
ingress	doc	training/kubectl-debugging-cheatsheet.md
ingress	skillcheck	training/library/skillchecks/kubernetes.skillcheck.md
ingress	cards	training/interactive/knowledge/data/cards/kubernetes.tsv
rbac	runbook	training/library/runbooks/rbac_forbidden.md
rbac	interview	training/interview-scenarios/09-rbac-forbidden.md
rbac	quest	training/interactive/exercises/levels/level-41/k8s-rbac-permission/
rbac	doc	training/kubectl-debugging-cheatsheet.md
rbac	skillcheck	training/library/skillchecks/kubernetes.skillcheck.md
rbac	cards	training/interactive/knowledge/data/cards/kubernetes.tsv
pod_disruption_budget	quest	training/interactive/exercises/levels/level-16/k8s-pdb/
pod_disruption_budget	skillcheck	training/library/skillchecks/kubernetes.skillcheck.md
pod_disruption_budget	cards	training/interactive/knowledge/data/cards/kubernetes.tsv
multicontainer	quest	training/interactive/exercises/levels/level-07/k8s-multicontainer/
multicontainer	cards	training/interactive/knowledge/data/cards/kubernetes.tsv
init_container	quest	training/interactive/exercises/levels/level-09/k8s-initcontainer/
init_container	cards	training/interactive/knowledge/data/cards/kubernetes.tsv
container_logs	quest	training/interactive/exercises/levels/level-08/k8s-logs/
container_logs	doc	training/kubectl-debugging-cheatsheet.md
container_logs	cards	training/interactive/knowledge/data/cards/kubernetes.tsv
node_port	quest	training/interactive/exercises/levels/level-22/k8s-nodeport/
node_port	cards	training/interactive/knowledge/data/cards/kubernetes.tsv
blue_green_deployment	quest	training/interactive/exercises/levels/level-17/k8s-bluegreen/
blue_green_deployment	cards	training/interactive/knowledge/data/cards/kubernetes.tsv
canary_deployment	quest	training/interactive/exercises/levels/level-18/k8s-canary/
canary_deployment	cards	training/interactive/knowledge/data/cards/kubernetes.tsv
persistent_volume	quest	training/interactive/exercises/levels/level-31/k8s-pvc-pending/
persistent_volume	skillcheck	training/library/skillchecks/kubernetes.skillcheck.md
persistent_volume	cards	training/interactive/knowledge/data/cards/kubernetes.tsv
persistent_volume_claim	quest	training/interactive/exercises/levels/level-32/k8s-volume-mount/
persistent_volume_claim	cards	training/interactive/knowledge/data/cards/kubernetes.tsv
storage_class	quest	training/interactive/exercises/levels/level-33/k8s-access-mode/
storage_class	cards	training/interactive/knowledge/data/cards/kubernetes.tsv
pending_pod	quest	training/interactive/exercises/levels/level-04/k8s-pending/
pending_pod	cards	training/interactive/knowledge/data/cards/kubernetes.tsv
helm_chart	doc	training/library/guides/local-developer-workflow.md
helm_chart	skillcheck	training/library/skillchecks/kubernetes.skillcheck.md
helm_chart	cards	training/interactive/knowledge/data/cards/kubernetes.tsv
helm_upgrade	lab	training/interactive/runtime-labs/lab-runtime-05-helm-upgrade-rollback/
helm_upgrade	runbook	training/library/runbooks/helm_upgrade_failed.md
helm_upgrade	incident	training/interactive/incidents/scenarios/helm-upgrade-bad-values.sh
helm_upgrade	investigation	training/library/runbooks/helm_upgrade_failed.md
helm_upgrade	interview	training/interview-scenarios/05-helm-upgrade-broke-prod.md
helm_upgrade	doc	training/kubectl-debugging-cheatsheet.md
helm_rollback	lab	training/interactive/runtime-labs/lab-runtime-05-helm-upgrade-rollback/
helm_rollback	runbook	training/library/runbooks/helm_upgrade_failed.md
helm_rollback	interview	training/interview-scenarios/05-helm-upgrade-broke-prod.md
helm_rollback	doc	training/kubectl-debugging-cheatsheet.md
helm_values	doc	training/library/guides/local-developer-workflow.md
helm_template	doc	training/kubectl-debugging-cheatsheet.md
prometheus	lab	training/interactive/runtime-labs/lab-runtime-03-observability-target-down/
prometheus	runbook	training/library/runbooks/prometheus_target_down.md
prometheus	incident	training/interactive/incidents/scenarios/prometheus-target-down.sh
prometheus	investigation	training/library/runbooks/prometheus_target_down.md
prometheus	interview	training/interview-scenarios/03-prometheus-target-down.md
prometheus	doc	training/library/guides/observability.md
prometheus	doc	training/kubectl-debugging-cheatsheet.md
prometheus	skillcheck	training/library/skillchecks/observability.skillcheck.md
prometheus	cards	training/interactive/knowledge/data/cards/prometheusstack.tsv
servicemonitor	lab	training/interactive/runtime-labs/lab-runtime-03-observability-target-down/
servicemonitor	runbook	training/library/runbooks/prometheus_target_down.md
servicemonitor	incident	training/interactive/incidents/scenarios/prometheus-target-down.sh
servicemonitor	investigation	training/library/runbooks/prometheus_target_down.md
servicemonitor	interview	training/interview-scenarios/03-prometheus-target-down.md
servicemonitor	doc	training/library/guides/observability.md
servicemonitor	cards	training/interactive/knowledge/data/cards/prometheusstack.tsv
grafana	doc	training/library/guides/observability.md
grafana	doc	training/kubectl-debugging-cheatsheet.md
grafana	skillcheck	training/library/skillchecks/observability.skillcheck.md
grafana	cards	training/interactive/knowledge/data/cards/prometheusstack.tsv
loki_logging	lab	training/interactive/runtime-labs/lab-runtime-04-loki-no-logs/
loki_logging	runbook	training/library/runbooks/loki_no_logs.md
loki_logging	incident	training/interactive/incidents/scenarios/loki-no-logs.sh
loki_logging	investigation	training/library/runbooks/loki_no_logs.md
loki_logging	interview	training/interview-scenarios/04-loki-logs-disappeared.md
loki_logging	doc	training/library/guides/observability.md
loki_logging	skillcheck	training/library/skillchecks/observability.skillcheck.md
loki_logging	cards	training/interactive/knowledge/data/cards/prometheusstack.tsv
promtail	lab	training/interactive/runtime-labs/lab-runtime-04-loki-no-logs/
promtail	runbook	training/library/runbooks/loki_no_logs.md
promtail	investigation	training/library/runbooks/loki_no_logs.md
promtail	interview	training/interview-scenarios/04-loki-logs-disappeared.md
promtail	doc	training/library/guides/observability.md
promtail	cards	training/interactive/knowledge/data/cards/prometheusstack.tsv
tempo	runbook	training/library/runbooks/tempo_no_traces.md
tempo	incident	training/interactive/incidents/scenarios/tempo-no-traces.sh
tempo	doc	training/library/guides/observability.md
tempo	skillcheck	training/library/skillchecks/observability.skillcheck.md
tempo	cards	training/interactive/knowledge/data/cards/prometheusstack.tsv
opentelemetry	runbook	training/library/runbooks/tempo_no_traces.md
opentelemetry	skillcheck	training/library/skillchecks/observability.skillcheck.md
trivy	lab	training/interactive/runtime-labs/lab-runtime-06-trivy-fail-to-green/
trivy	interview	training/interview-scenarios/06-ci-vuln-scan-failed.md
trivy	doc	training/library/guides/security-scanning.md
trivy	doc	training/library/guides/ci-pipeline.md
trivy	cards	training/interactive/knowledge/data/cards/security.tsv
container_scanning	lab	training/interactive/runtime-labs/lab-runtime-06-trivy-fail-to-green/
container_scanning	doc	training/library/guides/security-scanning.md
container_scanning	doc	training/library/guides/ci-pipeline.md
container_scanning	skillcheck	training/library/skillchecks/cicd.skillcheck.md
gitops	lab	training/interactive/runtime-labs/lab-runtime-07-gitops-sync-and-drift/
gitops	interview	training/interview-scenarios/07-config-drift-detected.md
gitops	doc	training/library/guides/gitops-example.md
gitops	skillcheck	training/library/skillchecks/cicd.skillcheck.md
gitops	cards	training/interactive/knowledge/data/cards/gitops.tsv
argocd	lab	training/interactive/runtime-labs/lab-runtime-07-gitops-sync-and-drift/
argocd	doc	training/library/guides/gitops-example.md
argocd	cards	training/interactive/knowledge/data/cards/argo.tsv
config_drift	lab	training/interactive/runtime-labs/lab-runtime-07-gitops-sync-and-drift/
config_drift	interview	training/interview-scenarios/07-config-drift-detected.md
github_actions	doc	training/library/guides/ci-pipeline.md
github_actions	skillcheck	training/library/skillchecks/cicd.skillcheck.md
github_actions	cards	training/interactive/knowledge/data/cards/cicd.tsv
continuous_integration	doc	training/library/guides/ci-pipeline.md
continuous_integration	skillcheck	training/library/skillchecks/cicd.skillcheck.md
continuous_integration	cards	training/interactive/knowledge/data/cards/cicd.tsv
continuous_delivery	doc	training/library/guides/devops-learning-roadmap.md
continuous_delivery	skillcheck	training/library/skillchecks/cicd.skillcheck.md
continuous_delivery	cards	training/interactive/knowledge/data/cards/cicd.tsv
docker	quest	training/interactive/exercises/levels/level-*/docker-*
docker	skillcheck	training/library/skillchecks/docker.skillcheck.md
docker	cards	training/interactive/knowledge/data/cards/docker.tsv
dockerfile	quest	training/interactive/exercises/levels/level-01/docker-from/
dockerfile	skillcheck	training/library/skillchecks/docker.skillcheck.md
dockerfile	cards	training/interactive/knowledge/data/cards/docker.tsv
multistage_build	quest	training/interactive/exercises/levels/level-12/docker-multistage/
multistage_build	skillcheck	training/library/skillchecks/docker.skillcheck.md
multistage_build	doc	training/library/guides/ci-pipeline.md
docker_compose	quest	training/interactive/exercises/levels/level-22/docker-bridge/
docker_compose	cards	training/interactive/knowledge/data/cards/docker.tsv
terraform	doc	training/library/guides/devops-learning-roadmap.md
terraform	skillcheck	training/library/skillchecks/terraform.iac.md
terraform	cards	training/interactive/knowledge/data/cards/terraform.tsv
ansible	quest	training/interactive/exercises/levels/level-*/ansible-*
ansible	doc	training/library/guides/ansible-cluster-management.md
ansible	skillcheck	training/library/skillchecks/ansible.skillcheck.md
ansible	cards	training/interactive/knowledge/data/cards/ansible.tsv
ansible_playbook	doc	training/library/guides/ansible-cluster-management.md
ansible_playbook	skillcheck	training/library/skillchecks/ansible.skillcheck.md
k3s_cluster	doc	training/library/guides/cluster-upgrade-exercise.md
k3s_cluster	doc	training/library/guides/ansible-cluster-management.md
cordon_drain	doc	training/library/guides/cluster-upgrade-exercise.md
bash_scripting	quest	training/interactive/exercises/levels/level-*/bash-*
bash_scripting	skillcheck	training/library/skillchecks/bash.skillcheck.md
bash_scripting	cards	training/interactive/knowledge/data/cards/bash.tsv
linux	skillcheck	training/library/skillchecks/linux.fundamentals.md
linux	cards	training/interactive/knowledge/data/cards/linux.tsv
networking	skillcheck	training/library/skillchecks/networking.fundamentals.md
networking	cards	training/interactive/knowledge/data/cards/networking.tsv
python	quest	training/interactive/exercises/levels/level-*/python-*
python	skillcheck	training/library/skillchecks/python.automation.md
python	cards	training/interactive/knowledge/data/cards/python.tsv
git	skillcheck	training/library/skillchecks/git.skillcheck.md
git	cards	training/interactive/knowledge/data/cards/git.tsv
cloud	skillcheck	training/library/skillchecks/cloud.basics.md
cloud	cards	training/interactive/knowledge/data/cards/cloud.tsv
security	doc	training/library/guides/security-scanning.md
security	skillcheck	training/library/skillchecks/cicd.skillcheck.md
security	cards	training/interactive/knowledge/data/cards/security.tsv
chaos_engineering	chaos	training/interactive/chaos/scripts/
chaos_engineering	cards	training/interactive/knowledge/data/cards/chaos-engineering.tsv
kubernetes_internals	skillcheck	training/library/skillchecks/kubernetes.under.the.covers.md
kubernetes_internals	cards	training/interactive/knowledge/data/cards/kubernetes.tsv
