id	category	difficulty	text	what_it_does	details	source_hint	tags
find-files	linux	1	find . -type f	find all files recursively	basic recursive file listing	seed	linux-searching,find,files
find-count	linux	1	find . -type f | wc -l	count all files recursively	quick project size check	seed	linux-searching,find,count
find-name	linux	1	find . -name "*.yaml" -type f	find files by name pattern	glob pattern matching with -name	repo	linux-searching,find,name
find-delete	linux	2	find . -name "*.pyc" -delete	find and delete files by pattern	careful: no confirmation; test with -print first	repo	linux-searching,find,delete
grep-recursive	linux	1	grep -Rni "pattern" .	search for a pattern recursively	-R recursive, -n line numbers, -i case-insensitive	seed	linux-searching,grep,search
grep-count	linux	1	grep -c "pattern" file.txt	count matching lines in a file	returns a number instead of the lines	seed	linux-searching,grep,count
grep-context	linux	2	grep -C 3 "error" logfile.txt	show matches with surrounding context	-C 3 gives 3 lines before and after each match	seed	linux-searching,grep,context
xargs-basic	linux	2	find . -name "*.log" | xargs rm	pipe filenames into a command	xargs builds argument lists from stdin	seed	linux-searching,xargs,pipes
xargs-null	linux	2	find . -name "*.tmp" -print0 | xargs -0 rm	handle filenames with spaces safely	-print0 and -0 use null separators	seed	linux-searching,xargs,null
sort-uniq	linux	2	sort file.txt | uniq -c | sort -rn	count and rank unique lines	classic frequency analysis pipeline	seed	linux-searching,sort,uniq
cut-fields	linux	2	cut -d: -f1 /etc/passwd	extract fields from delimited text	-d sets delimiter, -f selects fields	seed	linux-searching,cut,fields
wc-lines	linux	1	wc -l file.txt	count lines in a file	also supports -w (words) and -c (bytes)	seed	linux-searching,wc,count
ss-listen	linux	2	ss -tulpn	show listening TCP and UDP sockets with process info	replaces netstat; shows what is listening and which process owns it	seed	linux-network,network,sockets
ss-established	linux	2	ss -tan state established	show established TCP connections	see active connections by state	repo	linux-network,network,connections
ps-grep	linux	1	ps aux | grep nginx	find processes by name	quick process check; add grep -v grep to exclude self	seed	linux-processes,process,search
ps-tree	linux	2	ps auxf	show processes as a tree	--forest flag shows parent-child relationships	seed	linux-processes,process,tree
pstree-pid	linux	2	pstree -p	show process tree with PIDs	visualize parent-child process relationships	repo	linux-processes,process,tree
kill-signal	linux	2	kill -9 12345	forcefully terminate a process	SIGKILL; use SIGTERM (kill 12345) first when possible	seed	linux-processes,kill,signal
curl-headers	linux	1	curl -I https://example.com	fetch HTTP response headers only	quick check for status code and server info	seed	linux-network,curl,http
curl-health	linux	1	curl http://localhost:8000/health	check the app health endpoint	quick liveness verification	repo	linux-network,curl,health
curl-metrics	linux	2	curl http://localhost:8000/metrics	fetch Prometheus metrics	raw metrics in exposition format	repo	linux-network,curl,metrics
curl-verbose	linux	2	curl -v https://example.com	make an HTTP request with verbose output	shows TLS handshake, headers, and timing	seed	linux-network,curl,debug
tar-list	linux	2	tar -tf archive.tar	list contents of a tar archive	preview before extracting	seed	linux-files,tar,archive
tar-create	linux	2	tar -czf archive.tar.gz directory/	create a compressed tar archive	-c create, -z gzip, -f filename	seed	linux-files,tar,create
tar-extract	linux	1	tar -xzf archive.tar.gz	extract a compressed tar archive	-x extract, -z gzip, -f filename	seed	linux-files,tar,extract
chmod-exec	linux	1	chmod +x script.sh	make a script executable	required before running a new script	seed	linux-files,permissions,chmod
chown-recursive	linux	2	chown -R user:group directory/	change ownership recursively	-R applies to all files and subdirectories	seed	linux-files,ownership,chown
ln-symlink	linux	1	ln -s target link_name	create a symbolic link	symlinks point to the target path	seed	linux-files,symlink,link
ip-addr	linux	1	ip addr	show all network interfaces and addresses	modern replacement for ifconfig	repo	linux-network,network,interfaces
ip-route	linux	2	ip route show	show the routing table	see default gateway and connected networks	repo	linux-network,network,routing
ip-route-get	linux	2	ip route get 8.8.8.8	show which route is used to reach an IP	reveals gateway and source interface for a destination	repo	linux-network,network,routing
dig-short	linux	2	dig +short example.com	quick DNS lookup showing only the answer	fastest way to check DNS resolution	repo	linux-network,dns,lookup
dig-trace	linux	3	dig +trace example.com	trace DNS resolution from root servers	follow the full delegation chain	repo	linux-network,dns,debug
df-human	linux	1	df -h	show disk usage in human-readable format	quick filesystem space check	seed	linux-files,disk,usage
du-summary	linux	1	du -sh directory/	show total size of a directory	-s summary, -h human-readable	seed	linux-files,disk,size
lsof-port	linux	2	lsof -i :8080	show what process is using a port	useful when "address already in use"	seed	linux-network,lsof,port
head-lines	linux	1	head -20 file.txt	show the first 20 lines of a file	quick file preview	seed	linux-files,head,preview
tail-follow	linux	1	tail -f /var/log/syslog	follow a log file in real time	Ctrl-C to stop; classic log monitoring	seed	linux-files,tail,follow
docker-ps	docker	1	docker ps	list running containers	shows container ID, image, ports, and names	seed	containers-daily,containers,list
docker-ps-all	docker	1	docker ps -a	list all containers including stopped	shows exited containers too	seed	containers-daily,containers,list
docker-logs	docker	2	docker logs -f my-container	follow container logs in real time	Ctrl-C to stop; add --tail=100 to limit	seed	containers-daily,logs,follow
docker-exec	docker	2	docker exec -it my-container sh	open a shell in a running container	-it for interactive terminal	seed	containers-daily,exec,shell
docker-build	docker	2	docker build -t grokdevops:test .	build a Docker image from current directory	-t tags the image; dot is the build context	repo	containers-daily,build,image
docker-run	docker	1	docker run --rm -p 8000:8000 grokdevops:latest	run a container with port mapping	--rm removes container on exit	repo	containers-daily,run,container
docker-images	docker	1	docker images	list local Docker images	shows repository, tag, size	seed	containers-daily,images,list
docker-stop	docker	1	docker stop my-container	stop a running container	sends SIGTERM then SIGKILL after grace period	seed	containers-daily,stop
docker-rm	docker	1	docker rm my-container	remove a stopped container	add -f to force-remove a running container	seed	containers-daily,remove
docker-rmi	docker	2	docker rmi grokdevops:test	remove a Docker image	fails if a container is using it	seed	containers-daily,images,remove
helm-list	helm	1	helm list -A	list all Helm releases across namespaces	quick view of what is deployed	seed	containers-daily,list,releases
helm-upgrade-install	helm	2	helm upgrade --install my-release ./chart -n my-namespace	install or upgrade a Helm release	idempotent; creates release if it does not exist	seed	containers-daily,upgrade,install
helm-status	helm	2	helm status grokdevops -n grokdevops	show status of a Helm release	includes revision, status, and notes	repo	containers-daily,status,release
helm-history	helm	2	helm history grokdevops -n grokdevops	show release revision history	useful before rollback decisions	repo	containers-daily,history,revisions
helm-get-values	helm	2	helm get values grokdevops -n grokdevops	show user-supplied values for a release	compare to chart defaults	repo	containers-daily,values,config
helm-template	helm	3	helm template grokdevops devops/helm/grokdevops -f devops/helm/values-dev.yaml --debug	render templates locally without installing	debug flag shows detailed template output	repo	containers-daily,template,debug
helm-lint	helm	2	helm lint devops/helm/grokdevops -f devops/helm/values-dev.yaml	validate a Helm chart	catches template and values errors before deploy	repo	containers-daily,lint,validate
helm-repo-update	helm	1	helm repo update	update local Helm repo index	fetches latest chart versions from all repos	repo	containers-daily,repo,update
helm-rollback	helm	2	helm rollback grokdevops 0 -n grokdevops	roll back a Helm release to previous revision	0 means previous revision	repo	containers-daily,rollback
terraform-init	terraform	1	terraform init	initialize a Terraform working directory	downloads providers and modules	seed	terraform-daily,init,setup
terraform-plan	terraform	2	terraform plan -out=tfplan	create an execution plan and save it	review before applying; saved plan is exact	seed	terraform-daily,plan,preview
terraform-apply	terraform	2	terraform apply tfplan	apply a saved execution plan	only changes what the plan specified	seed	terraform-daily,apply,deploy
terraform-state-list	terraform	2	terraform state list	list resources in the state file	audit what Terraform manages	seed	terraform-daily,state,list
terraform-validate	terraform	1	terraform validate	validate Terraform configuration files	syntax and internal consistency check	repo	terraform-daily,validate,check
terraform-fmt	terraform	1	terraform fmt -check -recursive	check formatting of Terraform files	-check returns non-zero if files need formatting	repo	terraform-daily,format,lint
terraform-destroy	terraform	3	terraform destroy	destroy all managed infrastructure	irreversible; use with extreme caution	repo	terraform-daily,destroy,teardown
terraform-workspace	terraform	2	terraform workspace select staging	switch to a named workspace	isolates state per environment	repo	terraform-daily,workspace,env
terraform-output	terraform	2	terraform output -json	show all outputs in JSON format	useful for piping into scripts or other tools	seed	terraform-daily,output,json
terraform-import	terraform	3	terraform import aws_s3_bucket.data my-data-bucket	import existing infrastructure into state	brings unmanaged resources under Terraform control	repo	terraform-daily,import,state
ansible-ping	ansible	1	ansible all -i inventory -m ping	test connectivity to all hosts	basic reachability check	seed	ansible-daily,ping,test
ansible-playbook	ansible	2	ansible-playbook -i inventory site.yml --check	dry-run a playbook	--check shows what would change without changing it	seed	ansible-daily,playbook,dryrun
ansible-vault-encrypt	ansible	2	ansible-vault encrypt group_vars/production/secrets.yml	encrypt a file with Ansible Vault	protects secrets at rest	repo	ansible-daily,vault,encrypt
ansible-vault-edit	ansible	2	ansible-vault edit group_vars/production/secrets.yml	edit an encrypted file in place	decrypts, opens editor, re-encrypts	repo	ansible-daily,vault,edit
ansible-galaxy-init	ansible	2	ansible-galaxy init roles/postgresql	scaffold a new Ansible role	creates the standard role directory structure	repo	ansible-daily,galaxy,role
ansible-adhoc	ansible	2	ansible webservers -m command -a "df -h" -i inventory.yml	run an ad-hoc command on a group	quick one-off without writing a playbook	repo	ansible-daily,adhoc
python-pytest	python	1	python3 -m pytest	run all tests	discovers and runs test_*.py files	seed	python-testing,test,pytest
python-pytest-quiet	python	1	python3 -m pytest -q	run tests with minimal output	-q reduces noise; shows only failures and summary	seed	python-testing,test,quiet
python-pytest-file	python	2	python3 -m pytest path/to/test_file.py -q	run tests in a specific file	targeted test execution	seed	python-testing,test,targeted
python-pytest-cov	python	2	pytest --cov=app --cov-fail-under=90 --tb=short -q	run tests with coverage enforcement	fails if coverage drops below 90%	repo	python-testing,test,coverage
make-test	make	1	make test	run the project test suite	smoke tests plus pytest	seed	python-testing,test,make
make-lint	make	1	make lint	run linters	ruff check and format verification	seed	python-testing,lint,make
ruff-check	python	1	ruff check .	lint Python files with ruff	fast linter covering pyflakes, pycodestyle, isort	repo	python-testing,lint,ruff
ruff-format	python	1	ruff format --check .	check Python formatting	non-zero exit if files need formatting	repo	python-testing,format,ruff
make-deploy	make	2	make deploy	deploy to local k3s cluster	builds, loads image, and helm installs	repo	containers-daily,deploy,k3s
make-status	make	1	make status	show deployment status	kubectl and helm status in one command	repo	containers-daily,status,cluster
py-print	python	1	print("hello world")	print a string to stdout	the most basic output statement	seed	python-basics,print
py-print-fstring	python	1	print(f"count: {n}")	print using an f-string	f-strings evaluate expressions inside braces	seed	python-basics,print,fstring
py-input	python	1	name = input("Enter your name: ")	read a line of text from the user	always returns a string; cast with int() if needed	seed	python-basics,input
py-int-cast	python	1	n = int(input("Number: "))	read and convert input to integer	raises ValueError if input is not numeric	seed	python-basics,input,cast
py-list-literal	python	1	items = [1, 2, 3, 4, 5]	create a list with literal values	lists are mutable ordered sequences	seed	python-collections,list,literal
py-list-append	python	1	items.append("new")	add an item to the end of a list	mutates the list in place	seed	python-collections,list,append
py-list-slice	python	1	first_three = items[:3]	slice the first three items from a list	slicing creates a new list	seed	python-collections,list,slice
py-list-comp	python	2	squares = [x**2 for x in range(10)]	build a list using a comprehension	concise alternative to a for loop with append	seed	python-collections,list,comprehension
py-list-comp-filter	python	2	evens = [x for x in range(20) if x % 2 == 0]	filter with a list comprehension	if clause filters which items are included	seed	python-collections,list,comprehension
py-dict-literal	python	1	config = {"host": "localhost", "port": 8080}	create a dictionary with literal values	dicts map keys to values	seed	python-collections,dict,literal
py-dict-get	python	1	value = config.get("host", "default")	get a dict value with a default	avoids KeyError if key is missing	seed	python-collections,dict,get
py-dict-items	python	2	for key, value in config.items():	iterate over dict key-value pairs	.items() returns (key, value) tuples	seed	python-collections,dict,iterate
py-dict-comp	python	2	lengths = {w: len(w) for w in words}	build a dict using a comprehension	like list comp but produces key: value pairs	seed	python-collections,dict,comprehension
py-set-literal	python	1	unique = {1, 2, 3, 2, 1}	create a set from literal values	sets deduplicate automatically	seed	python-collections,set,literal
py-enumerate	python	1	for i, item in enumerate(items):	loop with index and value	cleaner than manual counter; start=1 to begin at 1	seed	python-basics,enumerate,loop
py-zip	python	2	for a, b in zip(list1, list2):	iterate over two lists in parallel	stops at the shorter list	seed	python-basics,zip,loop
py-range	python	1	for i in range(10):	loop over a range of numbers	range(10) gives 0 through 9	seed	python-basics,range,loop
py-if-else	python	1	result = "yes" if condition else "no"	conditional expression (ternary)	inline if/else for simple branching	seed	python-basics,conditional
py-def-function	python	1	def greet(name):	define a function	functions start with def, end with colon	seed	python-basics,function,def
py-def-return	python	1	def add(a, b): return a + b	define a function with a return value	single-expression functions can be one line	seed	python-basics,function,return
py-def-default	python	2	def connect(host, port=5432):	function with a default parameter	default values make arguments optional	seed	python-basics,function,default
py-lambda	python	2	key_fn = lambda x: x["name"]	create an anonymous function	useful for sort keys and callbacks	seed	python-basics,lambda
py-len	python	1	length = len(items)	get the length of a sequence	works on lists, strings, dicts, sets	seed	python-basics,len,builtin
py-sorted	python	1	ordered = sorted(items)	return a new sorted list	does not modify the original	seed	python-basics,sorted,builtin
py-sorted-key	python	2	ordered = sorted(items, key=lambda x: x["age"])	sort by a custom key	key function extracts the comparison value	seed	python-basics,sorted,key
py-sum	python	1	total = sum(numbers)	sum all values in an iterable	works on any iterable of numbers	seed	python-basics,sum,builtin
py-any-all	python	2	if any(x > 10 for x in numbers):	test if any element meets a condition	any() short-circuits on first True	seed	python-basics,any,builtin
py-join	python	1	result = ", ".join(words)	join a list of strings with a separator	the separator is the string you call .join() on	seed	python-basics,join,string
py-split	python	1	parts = line.split(":")	split a string by a delimiter	returns a list of substrings	seed	python-basics,split,string
py-strip	python	1	clean = text.strip()	remove leading and trailing whitespace	also .lstrip() and .rstrip() for one side	seed	python-basics,strip,string
py-startswith	python	1	if line.startswith("#"):	check if a string starts with a prefix	returns True or False	seed	python-basics,startswith,string
py-replace	python	1	fixed = text.replace("old", "new")	replace all occurrences in a string	strings are immutable; returns a new string	seed	python-basics,replace,string
py-try-except	python	2	try: ... except ValueError as e:	catch a specific exception type	naming the exception with as gives access to the message	seed	python-basics,exception,try
py-with-open	python	1	with open("file.txt") as f:	open a file with automatic cleanup	with statement closes the file even on errors	seed	python-files,open,read
py-read-lines	python	1	lines = f.read().splitlines()	read a file into a list of lines	splitlines() handles all line endings	seed	python-files,read,lines
py-write-file	python	2	with open("out.txt", "w") as f: f.write(text)	write text to a file	"w" mode creates or truncates the file	seed	python-files,write
py-pathlib-exists	python	1	from pathlib import Path	import Path for filesystem operations	pathlib is the modern way to handle paths	seed	python-files,pathlib,import
py-pathlib-read	python	2	text = Path("file.txt").read_text()	read file contents using pathlib	one-liner instead of open/read/close	seed	python-files,pathlib,read
py-pathlib-glob	python	2	for p in Path(".").glob("*.py"):	find files matching a pattern	recursive with rglob("**/*.py")	seed	python-files,pathlib,glob
py-pathlib-mkdir	python	2	Path("output").mkdir(parents=True, exist_ok=True)	create a directory and parents	exist_ok=True avoids error if already exists	seed	python-files,pathlib,mkdir
py-json-loads	python	2	data = json.loads(text)	parse a JSON string into Python objects	returns dicts, lists, strings, numbers	seed	python-files,json,parse
py-json-dumps	python	2	text = json.dumps(data, indent=2)	convert Python objects to a JSON string	indent=2 for human-readable output	seed	python-files,json,serialize
py-json-load-file	python	2	with open("config.json") as f: data = json.load(f)	load JSON from a file	json.load() reads from a file object	seed	python-files,json,file
py-subprocess-run	python	2	result = subprocess.run(["ls", "-la"], capture_output=True, text=True)	run a shell command and capture output	text=True returns strings instead of bytes	seed	python-files,subprocess,run
py-subprocess-check	python	2	subprocess.run(["make", "test"], check=True)	run a command and raise on failure	check=True raises CalledProcessError on non-zero exit	seed	python-files,subprocess,check
py-import-sys	python	1	import sys	import the sys module	sys.argv, sys.exit(), sys.path, sys.stdin	seed	python-basics,import,sys
py-import-os	python	1	import os	import the os module	os.environ, os.path, os.getcwd(), os.listdir()	seed	python-basics,import,os
